  File "d:\projects\cnn-chest-cancer-classification\src\cnnClassifier\components\model_trainer.py", line 17, in get_base_model
    self.model = tf.keras.models.load_model(
                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\mehai\anaconda3\envs\ctscan\Lib\site-packages\keras\saving\saving_api.py", line 212, in load_model
    return legacy_sm_saving_lib.load_model(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\mehai\anaconda3\envs\ctscan\Lib\site-packages\keras\utils\traceback_utils.py", line 70, in error_handler
    raise e.with_traceback(filtered_tb) from None
  File "C:\Users\mehai\anaconda3\envs\ctscan\Lib\site-packages\keras\saving\legacy\save.py", line 230, in load_model
    raise IOError(
OSError: No file or directory found at artifacts\prepare_base_model\base_model_updated.h5
[2024-02-19 21:03:00,623: INFO: stage_01_data_ingestion: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-02-19 21:03:00,624: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 21:03:00,625: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 21:03:00,626: INFO: common: created directory at: artifacts]
[2024-02-19 21:03:00,626: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-19 21:03:00,627: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1TwcmNPN5OBplkd0FwCKfd4xFUnaw_sdo/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-19 21:03:15,686: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1TwcmNPN5OBplkd0FwCKfd4xFUnaw_sdo/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-19 21:03:16,024: INFO: stage_01_data_ingestion: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-02-19 21:03:26,027: INFO: stage_02_prepared_base_model: *******************]
[2024-02-19 21:03:26,027: INFO: stage_02_prepared_base_model: >>>>>> stage Prepare base model started <<<<<<]
[2024-02-19 21:03:26,029: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 21:03:26,030: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 21:03:26,031: INFO: common: created directory at: artifacts]
[2024-02-19 21:03:26,031: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-02-19 21:03:26,430: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-02-19 21:03:26,620: INFO: stage_02_prepared_base_model: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-02-19 21:03:38,126: INFO: stage_03_model_trainer: *******************]
[2024-02-19 21:03:38,127: INFO: stage_03_model_trainer: >>>>>> stage Training started <<<<<<]
[2024-02-19 21:03:38,128: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 21:03:38,129: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 21:03:38,130: INFO: common: created directory at: artifacts]
[2024-02-19 21:03:38,130: INFO: common: created directory at: artifacts\training]
[2024-02-19 21:03:38,462: ERROR: stage_03_model_trainer: [WinError 3] The system cannot find the path specified: 'artifacts\\data_ingestion\\data']
Traceback (most recent call last):
  File "d:\Projects\CNN-Chest-Cancer-Classification\src\cnnClassifier\pipeline\stage_03_model_trainer.py", line 30, in <module>
    obj.main()
  File "d:\Projects\CNN-Chest-Cancer-Classification\src\cnnClassifier\pipeline\stage_03_model_trainer.py", line 20, in main
    training.train_valid_generator()
  File "d:\projects\cnn-chest-cancer-classification\src\cnnClassifier\components\model_trainer.py", line 38, in train_valid_generator
    self.valid_generator = valid_datagenerator.flow_from_directory(
                           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\mehai\anaconda3\envs\ctscan\Lib\site-packages\keras\preprocessing\image.py", line 1648, in flow_from_directory
    return DirectoryIterator(
           ^^^^^^^^^^^^^^^^^^
  File "C:\Users\mehai\anaconda3\envs\ctscan\Lib\site-packages\keras\preprocessing\image.py", line 563, in __init__
    for subdir in sorted(os.listdir(directory)):
                         ^^^^^^^^^^^^^^^^^^^^^
FileNotFoundError: [WinError 3] The system cannot find the path specified: 'artifacts\\data_ingestion\\data'
[2024-02-19 21:12:26,451: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-02-19 21:12:26,453: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 21:12:26,454: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 21:12:26,455: INFO: common: created directory at: artifacts]
[2024-02-19 21:12:26,456: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-19 21:12:26,456: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1TwcmNPN5OBplkd0FwCKfd4xFUnaw_sdo/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-19 21:12:41,177: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1TwcmNPN5OBplkd0FwCKfd4xFUnaw_sdo/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-19 21:12:41,501: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-02-19 21:12:41,501: INFO: main: *******************]
[2024-02-19 21:12:41,501: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-02-19 21:12:41,502: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 21:12:41,503: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 21:12:41,504: INFO: common: created directory at: artifacts]
[2024-02-19 21:12:41,504: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-02-19 21:12:41,873: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-02-19 21:12:42,084: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-02-19 21:12:42,085: INFO: main: *******************]
[2024-02-19 21:12:42,085: INFO: main: >>>>>> stage Training started <<<<<<]
[2024-02-19 21:12:42,087: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 21:12:42,088: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 21:12:42,088: INFO: common: created directory at: artifacts]
[2024-02-19 21:12:42,089: INFO: common: created directory at: artifacts\training]
[2024-02-19 21:12:42,382: ERROR: main: [WinError 267] The directory name is invalid: 'artifacts\\data_ingestion\\data.zip']
Traceback (most recent call last):
  File "d:\Projects\CNN-Chest-Cancer-Classification\templates\main.py", line 43, in <module>
    model_trainer.main()
  File "d:\projects\cnn-chest-cancer-classification\src\cnnClassifier\pipeline\stage_03_model_trainer.py", line 20, in main
    training.train_valid_generator()
  File "d:\projects\cnn-chest-cancer-classification\src\cnnClassifier\components\model_trainer.py", line 38, in train_valid_generator
    self.valid_generator = valid_datagenerator.flow_from_directory(
                           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\mehai\anaconda3\envs\ctscan\Lib\site-packages\keras\preprocessing\image.py", line 1648, in flow_from_directory
    return DirectoryIterator(
           ^^^^^^^^^^^^^^^^^^
  File "C:\Users\mehai\anaconda3\envs\ctscan\Lib\site-packages\keras\preprocessing\image.py", line 563, in __init__
    for subdir in sorted(os.listdir(directory)):
                         ^^^^^^^^^^^^^^^^^^^^^
NotADirectoryError: [WinError 267] The directory name is invalid: 'artifacts\\data_ingestion\\data.zip'
[2024-02-19 21:51:12,467: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 21:51:12,470: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 21:51:12,471: INFO: common: created directory at: artifacts]
[2024-02-19 21:51:12,471: INFO: common: created directory at: artifacts\training]
[2024-02-19 21:55:16,349: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 21:55:16,353: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 21:55:16,354: INFO: common: created directory at: artifacts]
[2024-02-19 21:55:16,355: INFO: common: created directory at: artifacts\training]
[2024-02-19 21:58:35,710: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 21:58:35,713: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 21:58:35,714: INFO: common: created directory at: artifacts]
[2024-02-19 21:58:35,716: INFO: common: created directory at: artifacts\training]
[2024-02-19 22:01:32,917: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 22:01:32,919: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 22:01:32,921: INFO: common: created directory at: artifacts]
[2024-02-19 22:01:32,922: INFO: common: created directory at: artifacts\training]
[2024-02-19 22:12:35,791: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 22:12:35,793: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 22:12:35,795: INFO: common: created directory at: artifacts]
